[85.98,0.102]
[86.03,0.138]
[86.03,0.13]
[86.07,0.099]
[86.08,0.096]
[86.11,0.106]
[86.21,0.141]
[86.23,0.089]
[86.29,0.089]
[86.31,0.101]
[86.56,0.083]
[86.67,0.126]
[86.74,0.093]
[86.96,0.111]
[87.08,0.085]
[87.76,0.081]
[87.92,0.098]
[88.1,0.108]
[88.24,0.118]
[88.35,0.096]
[88.44,0.089]
[88.44,0.126]
[88.62,0.12]
[88.7,0.082]
[88.82,0.079]
[88.93,0.112]
[88.97,0.105]
[88.98,60.081]
[89.21,0.087]
[89.24,0.104]
[89.35,0.091]
[89.36,0.113]
[89.4,0.127]
[89.4,0.09]
[89.42,0.096]
[89.85,0.084]
[89.87,0.079]
[89.9,0.295]
[90.03,0.359]
[90.21,0.086]
[90.3,0.116]
[90.31,0.113]
[90.36,0.087]
[90.39,0.087]
[90.4,0.092]
[90.53,0.105]
[91.13,0.301]
[91.17,0.118]
[91.22,0.081]
[91.3,0.08]
[91.43,0.084]
[91.54,0.084]
[91.68,0.088]
[91.69,0.097]
[91.8,0.102]
[91.89,0.1]
[91.96,0.083]
[92.03,0.08]
[92.09,0.122]
[92.1,0.11]
[92.18,0.082]
[92.29,0.089]
[92.58,0.088]
[92.69,0.086]
[92.74,0.092]
[93.27,0.099]
[93.29,0.087]
[93.8,0.086]
[93.83,0.117]
[94.03,0.083]
[94.2,0.084]
[94.32,0.095]
[94.47,0.087]
[94.64,0.089]
[94.66,0.111]
[94.67,0.091]
[95.1,0.099]
[95.2,0.088]
[95.56,0.081]
[95.79,0.084]
[95.92,60.104]
[96.02,0.094]
[96.05,0.114]
[96.1,0.131]
